,MDI_Normalized,Permutation_Normalized,SHAP_Normalized,Average_Normalized
INJURY,0.17292225161009678,0.24898786857207525,0,0.14063670672739068
y,0.05861334298789661,0.09939051130012382,0,0.052667951429340144
ACCNUM,0.062161986940784696,0.05609600608877682,0,0.03941933100985384
x,0.05476907916802895,0.04130526761992743,0,0.032024782262652124
PEDESTRIAN,0.01566809018261568,0.07975421996237696,0,0.03180743671499755
DISTANCE_TO_CLUSTER_CENTER,0.05489603199030479,0.037022875795225195,0,0.030639635928509993
OFFSET,0.03149558625280837,0.05477200323671906,0,0.02875586316317581
STREET1,0.04975897194537918,0.027775828176349777,0,0.02584493337390965
STREET2,0.050685296175846765,0.026644228143196096,0,0.02577650810634762
SPEEDING,0.014817079729774219,0.05086271459135063,0,0.021893264773708284
IMPACTYPE,0.02440483378140455,0.041188950356875795,0,0.021864594712760116
NEIGHBOURHOOD_158,0.04266431617937219,0.016802526171059,0,0.019822280783477062
INVAGE,0.02735648797954722,0.01384253019131355,0,0.013733006056953592
ACCLOC,0.01630838745188977,0.023019222976984693,0,0.013109203476291487
DIVISION,0.027326986537478094,0.009832141869461727,0,0.012386376135646608
TRUCK,0.011410279529370944,0.025360484604080597,0,0.012256921377817179
DISTRICT,0.013722882598552352,0.017280114751883513,0,0.010334332450145289
INVTYPE,0.0195677808905967,0.010888792614005856,0,0.010152191168200852
TimePeriodEncoded,0.022290772101806,0.007874040099936395,0,0.0100549374005808
LIGHT,0.01666720924990574,0.01312199607397784,0,0.009929735107961192
TRAFFCTL,0.014054356430424844,0.014285143468154208,0,0.009446499966193017
LOCATION_CLUSTER,0.02103992821571966,0.006487045385920554,0,0.009175657867213404
AG_DRIV,0.010177053946609997,0.012453315304975286,0,0.007543456417195095
VEHTYPE,0.01580741874272247,0.006712003186822624,0,0.007506473976515032
PEDTYPE,0.013270419450561899,0.007761447323008859,0,0.00701062225785692
DRIVCOND,0.013964836409804803,0.007034514143307147,0,0.006999783517703983
MANOEUVER,0.010980802602657372,0.008536222734927006,0,0.0065056751125281255
AUTOMOBILE,0.0066343198975594864,0.009880771642111763,0,0.005505030513223749
PEDACT,0.00885757701032821,0.0050404913936178365,0,0.004632689467982016
INITDIR,0.011707962945703804,0.0020184909331476273,0,0.004575484626283811
ROAD_CLASS,0.012349731421811833,0.0012544378793778914,0,0.004534723100396575
CYCLIST,0.005878029711462435,0.007437234324519701,0,0.004438421345327378
DRIVACT,0.01044332648786512,0.0013976145848519645,0,0.003946980357572361
PEDCOND,0.009583532557465224,0.0014612055323505275,0,0.003681579363271917
PASSENGER,0.009502299363507275,0.0011590364940241866,0,0.003553778619177154
RDSFCOND,0.008900481374694425,0.0008888805634001787,0,0.0032631206460315347
TRSN_CITY_VEH,0.005816876640816305,0.002687949873866147,0,0.0028349421715608172
VISIBILITY,0.0073271493015855775,0.0005076861187368221,0,0.0026116118067741334
MOTORCYCLE,0.004551883310512316,0.0008570225210041739,0,0.0018029686105054965
REDLIGHT,0.004068623774904518,0.00015858763947999548,0,0.0014090704714615045
ALCOHOL,0.0033911661165192514,0.00015857575669567828,0,0.0011832472910716433
DISABILITY,0.002591124072817084,0.0,0,0.0008637080242723614
CYCLISTYPE,0.0008199191715975385,0.0,0,0.0002733063905325128
CYCACT,0.0003357237854835811,0.0,0,0.00011190792849452703
CYCCOND,0.00028380210445879116,0.0,0,9.460070148626373e-05
EMERG_VEH,0.00015400186894662637,0.0,0,5.133395631554212e-05
